antecedents,consequents,antecedent support,consequent support,support,confidence,lift,antecedents_str,consequents_str
49,271,0.0016787325569195257,0.0034274123037106984,0.001084181443010527,0.6458333333333333,188.4317602040816,CABOS PARA RODOS E VASSOURAS,RODOS
271,49,0.0034274123037106984,0.0016787325569195257,0.001084181443010527,0.31632653061224486,188.4317602040816,RODOS,CABOS PARA RODOS E VASSOURAS
80,81,0.012940230126254677,0.008778372328891686,0.004581540936592872,0.35405405405405405,40.33254010983095,COBERTURA CHOCOLATE AO LEITE,COBERTURA CHOCOLATE BRANCO
81,80,0.008778372328891686,0.012940230126254677,0.004581540936592872,0.5219123505976095,40.332540109830944,COBERTURA CHOCOLATE BRANCO,COBERTURA CHOCOLATE AO LEITE
277,279,0.00891826670863498,0.011086629594656035,0.0039520162277480505,0.4431372549019609,39.970421228428286,SACHE AZEITE,SACHE VINAGRE
279,277,0.011086629594656035,0.00891826670863498,0.0039520162277480505,0.35646687697160884,39.970421228428286,SACHE VINAGRE,SACHE AZEITE
103,146,0.0046864617214003425,0.0067499038226139264,0.001154128632882174,0.2462686567164179,36.48476529270744,EMBALAGENS ORIENTAIS,HASHI
75,76,0.0023432308607001713,0.016332668835029554,0.001154128632882174,0.4925373134328358,30.156572597398444,CHOCOLATE EM BARRA BLEND,CHOCOLATE EM BARRA BRANCO
15,28,0.011156576784527682,0.014828804252789145,0.004931276885951107,0.44200626959247646,29.807276571834148,ALGA E NORI,ARROZ JAPONES
28,15,0.014828804252789145,0.011156576784527682,0.004931276885951107,0.3325471698113207,29.807276571834148,ARROZ JAPONES,ALGA E NORI
146,15,0.0067499038226139264,0.011156576784527682,0.0022033364809568774,0.32642487046632124,29.25851511361606,HASHI,ALGA E NORI
74,76,0.011471339138950093,0.016332668835029554,0.0052810128353093415,0.46036585365853655,28.186811249804144,CHOCOLATE EM BARRA AO LEITE,CHOCOLATE EM BARRA BRANCO
76,74,0.016332668835029554,0.011471339138950093,0.0052810128353093415,0.3233404710920771,28.186811249804144,CHOCOLATE EM BARRA BRANCO,CHOCOLATE EM BARRA AO LEITE
259,310,0.02675480012590494,0.014968698632532439,0.010806840835169447,0.403921568627451,26.984414513468938,POTE PLASTICO,TAMPA PLASTICA
310,259,0.014968698632532439,0.02675480012590494,0.010806840835169447,0.7219626168224299,26.984414513468938,TAMPA PLASTICA,POTE PLASTICO
35,142,0.006575035847934809,0.010352184101003742,0.0017137061518553492,0.26063829787234044,25.17713125359402,AVEIA,GRANOLA
219,136,0.007064666177036338,0.01143636554401427,0.001853600531598643,0.2623762376237624,22.942274502679627,OUTROS CONDIMENTOS,GELEIA
282,284,0.031616129821984404,0.025775539467701884,0.01853600531598643,0.5862831858407079,22.745719311727765,SACHES CATCHUP,SACHES MAIONESE
284,282,0.025775539467701884,0.031616129821984404,0.01853600531598643,0.7191316146540027,22.74571931172776,SACHES MAIONESE,SACHES CATCHUP
284,286,0.025775539467701884,0.011226523974399329,0.006505088658063162,0.25237449118046135,22.48019883589698,SACHES MAIONESE,SACHES MOSTARDA
286,284,0.011226523974399329,0.025775539467701884,0.006505088658063162,0.5794392523364486,22.480198835896978,SACHES MOSTARDA,SACHES MAIONESE
146,28,0.0067499038226139264,0.014828804252789145,0.002238310075892701,0.33160621761658027,22.362303255450186,HASHI,ARROZ JAPONES
282,286,0.031616129821984404,0.011226523974399329,0.007904032455496101,0.25,22.268691588785046,SACHES CATCHUP,SACHES MOSTARDA
286,282,0.011226523974399329,0.031616129821984404,0.007904032455496101,0.7040498442367601,22.268691588785043,SACHES MOSTARDA,SACHES CATCHUP
281,280,0.004931276885951107,0.02297765187283601,0.0022732836708285243,0.46099290780141844,20.06266394637132,SACHES ADOCANTE,SACHES ACUCAR
67,142,0.009198055468121568,0.010352184101003742,0.0018885741265344666,0.20532319391634984,19.83380433665605,CEREAIS MATINAIS,GRANOLA
271,322,0.0034274123037106984,0.020599447417200014,0.0013639702024971147,0.3979591836734694,19.31892519316725,RODOS,VASSOURAS
8,11,0.040954079669849264,0.03882069037876403,0.029832476480257407,0.7284372331340735,18.764149375677984,AGUA COM GAS,AGUA SEM GAS
11,8,0.03882069037876403,0.040954079669849264,0.029832476480257407,0.7684684684684685,18.764149375677984,AGUA SEM GAS,AGUA COM GAS
48,72,0.023991886125974887,0.010981708809848565,0.004896303291015283,0.20408163265306123,18.583777460028596,BOMBONS E CHOCOLATES TABLETES,CHICLETES
72,48,0.010981708809848565,0.023991886125974887,0.004896303291015283,0.4458598726114649,18.583777460028596,CHICLETES,BOMBONS E CHOCOLATES TABLETES
146,137,0.0067499038226139264,0.0113314447592068,0.0013989437974329382,0.2072538860103627,18.29015544041451,HASHI,GENGIBRE
103,28,0.0046864617214003425,0.014828804252789145,0.0012590494176896443,0.26865671641791045,18.117220501267248,EMBALAGENS ORIENTAIS,ARROZ JAPONES
47,280,0.003986989822683874,0.02297765187283601,0.0015388381771762319,0.3859649122807017,16.797404470079304,BLISTER GELEIA E MEL,SACHES ACUCAR
137,28,0.0113314447592068,0.014828804252789145,0.002623019620186759,0.23148148148148148,15.610259433962264,GENGIBRE,ARROZ JAPONES
39,213,0.01276536215157556,0.015912985695799672,0.0028678347847375233,0.22465753424657536,14.11787445431281,BALAS,OUTROS BOMBONIERE
63,192,0.010387157695939566,0.021019130556429896,0.0025880460252509356,0.24915824915824916,11.853879897141129,CASTANHA DO PARA FRUTAS SECAS,NOZES
76,77,0.016332668835029554,0.020879236176686602,0.003986989822683874,0.24411134903640258,11.691584259627904,CHOCOLATE EM BARRA BRANCO,CHOCOLATE EM BARRA MEIO AMARGO
237,29,0.005525827999860106,0.0299723708600007,0.0018186269366628196,0.3291139240506329,10.980576931598304,OUTROS SACHES,ARROZ PARA RISOTO
146,231,0.0067499038226139264,0.02794390235372294,0.00192354772147029,0.2849740932642487,10.198077908266162,HASHI,OUTROS MOLHOS
65,16,0.0029377819746091703,0.05396425698597559,0.0016087853670478788,0.5476190476190476,10.147810387927043,CEBOLA,ALHO
113,133,0.006714930227678103,0.026509984961354177,0.0017836533417269962,0.265625,10.01980953166227,FARFALLE (GRAVATA),FUSILI (PARAFUSO)
260,168,0.01517854020214738,0.10345189382016577,0.014933725037596615,0.9838709677419355,9.510420074592686,POTE TERMICO (ISOPOR),MARMITA TERMICA (ISOPOR)
311,168,0.07319973420067849,0.10345189382016577,0.0708215297450425,0.9675107501194458,9.352276835079552,TAMPA TERMICA (ISOPOR),MARMITA TERMICA (ISOPOR)
168,311,0.10345189382016577,0.07319973420067849,0.0708215297450425,0.6845841784989858,9.35227683507955,MARMITA TERMICA (ISOPOR),TAMPA TERMICA (ISOPOR)
55,56,0.0317560242017277,0.07449375721330395,0.020704368202007484,0.6519823788546255,8.752174722342868,CALDO DE CARNE,CALDO DE GALINHA
56,55,0.07449375721330395,0.0317560242017277,0.020704368202007484,0.2779342723004695,8.752174722342868,CALDO DE GALINHA,CALDO DE CARNE
303,134,0.006644983037806456,0.025775539467701884,0.0014688909873045851,0.2210526315789474,8.576062272370207,SUCO PREMIUM,GEL ACENDEDOR
103,231,0.0046864617214003425,0.02794390235372294,0.0011191550379463504,0.23880597014925373,8.545906263426298,EMBALAGENS ORIENTAIS,OUTROS MOLHOS
206,121,0.005246039240373518,0.03476375336620851,0.0014688909873045851,0.28,8.0543661971831,OUTRAS MASSAS FRESCAS,FEIJAO CARIOCA
156,143,0.024481516455076416,0.03920539992305809,0.0073444549365229254,0.30000000000000004,7.652007136485282,LENTILHA,GRAO DE BICO
104,174,0.021508760885531424,0.08792361766866016,0.01437414751862344,0.6682926829268293,7.600832411665405,ERVILHA,MILHO VERDE
137,231,0.0113314447592068,0.02794390235372294,0.0023782044556359947,0.20987654320987653,7.51063829787234,GENGIBRE,OUTROS MOLHOS
81,269,0.008778372328891686,0.03497359493582345,0.002238310075892701,0.2549800796812749,7.290645418326694,COBERTURA CHOCOLATE BRANCO,RECHEIOS
18,274,0.004441646556849578,0.0459203301507362,0.0014688909873045851,0.33070866141732286,7.201791893301989,AMACIANTE DE ROUPAS,SABAO EM PO (LAVA ROUPAS)
206,242,0.005246039240373518,0.037141957821844505,0.0013989437974329382,0.26666666666666666,7.179661016949153,OUTRAS MASSAS FRESCAS,OVO DE CODORNA
279,287,0.011086629594656035,0.03917042632812227,0.0030427027594166402,0.27444794952681384,7.006509125732311,SACHE VINAGRE,SACHES SAL
113,253,0.006714930227678103,0.06211310460602245,0.0028328611898017,0.421875,6.792044974662162,FARFALLE (GRAVATA),PENNE
